A  ,Element,Z  ,N  ,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma   ,B_exp (W.u.),B_exp Unc (W.u.),,
16,O      ,8,8,9844.5,0.5,2+                ,0.62 KEV 0.1             ,3794.6,1.2,[E2]      ,1.2,0.3,          ,                
16,O      ,8,8,6917.1,0.6,2+                ,4.70 FS 0.13             ,867.7,1.2,[E2]      ,27,3,          ,                
17,O      ,8,9,870.756,0.02,1/2+              ,179.6 PS 2.7             ,870.732,0.02,E2        ,2.424,0.037,          ,                
18,O      ,8,10,3554.84,0.4,4+                ,17.2 PS 0.8              ,1573,        ,E2        ,1.19,0.06,          ,                
18,O      ,8,10,3920.44,0.14,2+                ,18.4 FS 2                ,3920,        ,E2        ,1.3,0.2,          ,                
18,O      ,8,10,5336.4,0.6,0+                ,139 FS 28                ,3354,        ,E2        ,2,0.4,          ,                
18,O      ,8,10,7116.9,1.2,4+                ,17 FS LT                 ,3197,        ,E2        ,2.2,0.6,          ,                
18,O      ,8,10,8213,4,2+                ,1.0 KEV 0.8              ,4658,        ,E2        ,2.4,1,          ,                
18,O      ,8,10,1982.07,0.09,2+                ,1.94 PS 0.05             ,1982,        ,E2        ,3.32,0.09,          ,                
18,O      ,8,10,3633.76,0.11,0+                ,0.96 PS 0.11             ,1652,        ,E2        ,17,2,          ,                
18,O      ,8,10,5254.8,0.9,2+                ,7.0 FS 0.3               ,1699,        ,E2        ,21,12,          ,                
18,O      ,8,10,5254.8,0.9,2+                ,7.0 FS 0.3               ,1621,        ,E2        ,23,15,          ,                
19,O      ,8,11,1471.7,0.4,1/2+              ,0.88 PS 0.12             ,1471.7,        ,E2        ,0.58,0.12,          ,                
19,O      ,8,11,2371.5,1,9/2+              ,2.4 PS GT                ,2371.5,        ,E2        ,1,LT              ,          ,                
20,O      ,8,12,1673.68,0.15,2+                ,7.3 PS 0.3               ,1673.6,0.15,[E2]      ,1.8,0.07,          ,                
22,O      ,8,14,3199,8,2+                ,0.40 PS 0.15             ,3199,8,E2        ,1.2,0.5,          ,                
17,F      ,9,8,495.33,0.1,1/2+              ,286 PS 6                 ,495.32,0.1,[E2]      ,25,0.5,          ,                
18,F      ,9,9,4115.9,0.25,3+                ,63 FS 15                 ,4116,        ,E2        ,0.15,0.04,          ,                
18,F      ,9,9,6484.9,1.5,3+                ,0.40 KEV 0.1             ,4784,        ,E2        ,0.52,0.35,          ,                
18,F      ,9,9,3358.2,1,3+                ,0.30 PS 0.02             ,3358,        ,E2        ,0.69,0.09,          ,                
18,F      ,9,9,6310.5,0.8,3+                ,0.95 KEV 0.14            ,4610,        ,E2        ,1,0.4,          ,                
18,F      ,9,9,5297.6,1.5,4+                ,21 FS 3                  ,1940,        ,M1+E2     ,5.5,2.7,,
18,F      ,9,9,1121.36,0.15,5+                ,162 NS 7                 ,184,        ,E2        ,5.78,0.25,          ,                
18,F      ,9,9,937.2,0.06,3+                ,46.9 PS 1.7              ,937,        ,E2        ,5.8,0.2,          ,                
18,F      ,9,9,3061.84,0.18,2+                ,0.83 FS LT               ,2020,        ,E2        ,8,GT              ,          ,                
18,F      ,9,9,6310.5,0.8,3+                ,0.95 KEV 0.14            ,2587,        ,E2        ,9,5,          ,                
18,F      ,9,9,5297.6,1.5,4+                ,21 FS 3                  ,2775,        ,E2        ,17,6,          ,                
18,F      ,9,9,3358.2,1,3+                ,0.30 PS 0.02             ,1657,        ,E2        ,21,3,          ,                
18,F      ,9,9,6567,1.5,5+                ,0.56 KEV 0.13            ,3209,        ,E2        ,28,6,          ,                
19,F      ,9,10,6070,1,7/2+              ,1.2 KEV                  ,4516,        ,E2        ,1.5,1.3,          ,                
19,F      ,9,10,6330,2,7/2+              ,2.4 KEV                  ,4776,        ,E2        ,2.6,0.8,          ,                
19,F      ,9,10,4648,1,13/2+             ,2.6 PS 0.3               ,1868,        ,E2        ,3.2,0.4,          ,                
19,F      ,9,10,197.143,0.004,5/2+              ,89.3 NS 1                ,197.1,        ,E2        ,6.95,0.08,          ,                
19,F      ,9,10,2779.849,0.034,9/2+              ,194 FS 21                ,2582.7,        ,E2        ,8.2,0.9,          ,                
20,F      ,9,11,822.73,0.03,4+                ,55 PS 4                  ,822.69,0.04,[E2]      ,2.76,0.29,          ,                
21,F      ,9,12,279.93,0.06,1/2+              ,6.1 NS 0.6               ,279.92,0.06,(E2)      ,15.7,1.6,          ,                
18,NE     ,10,8,3616.4,0.6,2+                ,44 FS +21-14             ,3616,        ,E2        ,0.66,0.33,          ,                
18,NE     ,10,8,3576.3,2,0+                ,3 PS 1                   ,1689,        ,E2        ,5,2.5,          ,                
18,NE     ,10,8,3376.2,0.4,4+                ,3.0 PS 0.4               ,1489,        ,E2        ,8.9,1.2,          ,                
18,NE     ,10,8,1887.3,0.2,2+                ,0.46 PS 0.04             ,1887,        ,E2        ,17.7,1.8,          ,                
19,NE     ,10,9,4635,4,13/2+             ,0.7 PS GT                ,1840,        ,E2        ,13,LT              ,          ,                
19,NE     ,10,9,238.27,0.11,5/2+              ,18.0 NS 0.5              ,238.3,        ,E2        ,13.2,0.5,          ,                
19,NE     ,10,9,2794.7,0.6,9/2+              ,97 FS 24                 ,2556.4,        ,E2        ,17,4,          ,                
20,NE     ,10,10,8777.6,2.2,6+                ,0.11 KEV 0.02            ,4529.3,2.5,[E2]      ,20,3,          ,                
20,NE     ,10,10,1633.674,0.015,2+                ,0.73 PS 0.04             ,1633.602,0.015,[E2]      ,20.3,1,          ,                
20,NE     ,10,10,4247.7,1.1,4+                ,64 FS 6                  ,2613.8,1.1,[E2]      ,22,2,          ,                
21,NE     ,10,11,6267,1.6,9/2+              ,24 FS 12                 ,3400.1,1.6,M1+E2     ,0.004,+0.022-0.004    ,,
21,NE     ,10,11,6174.2,1.7,(5/2)+            ,9 FS 4                   ,4429,2,M1+E2     ,0.04,+0.05-0.04      ,,
21,NE     ,10,11,3735.59,0.14,5/2+              ,10 FS LT                 ,3735.2,0.2,M1+E2     ,0.3,                ,,
21,NE     ,10,11,3735.59,0.14,5/2+              ,10 FS LT                 ,3384.6,0.2,M1+E2     ,0.71,                ,,
21,NE     ,10,11,4433.3,0.7,11/2+             ,22 FS 3                  ,1567.2,1,M1+E2     ,6,4,,
21,NE     ,10,11,2866.6,0.2,9/2+              ,40 FS 4                  ,1120,0.3,M1+E2     ,9,5,,
21,NE     ,10,11,1745.91,0.019,7/2+              ,52 FS 4                  ,1395.131,0.017,M1+E2     ,11,4,,
21,NE     ,10,11,6174.2,1.7,(5/2)+            ,9 FS 4                   ,2438,2,M1+E2     ,24,19,,
21,NE     ,10,11,350.727,0.008,5/2+              ,7.13 PS 0.14             ,350.725,0.008,M1+E2     ,24.3,2,,
22,NE     ,10,12,5363.4,1.1,2+                ,69 FS 12                 ,4088.4,        ,M1+E2     ,0.06,0.03,,
22,NE     ,10,12,5523.3,0.6,(4)+              ,21 FS 3                  ,4247.9,1,E2        ,0.084,0.02,          ,                
22,NE     ,10,12,5641.2,0.7,3+                ,3 FS LT                  ,4366.1,1,M1+E2     ,0.36,                ,,
22,NE     ,10,12,4456.2,0.9,2+                ,3.7 FS 2.5               ,4455.7,        ,E2        ,0.7,0.5,          ,                
22,NE     ,10,12,7341.2,1.1,(4)+              ,35 FS 21                 ,3983.5,1,M1+E2     ,0.7,0.6,,
22,NE     ,10,12,4456.2,0.9,2+                ,3.7 FS 2.5               ,3181.4,        ,M1+E2     ,1,0.8,,
22,NE     ,10,12,6635.8,0.8,"(3,4)+            ",49 FS 21                 ,3278.3,        ,M1+E2     ,1.8,1,,
22,NE     ,10,12,6635.8,0.8,"(3,4)+            ",49 FS 21                 ,3278.3,        ,M1+E2     ,1.8,1,,
22,NE     ,10,12,6119.9,1.6,2+                ,14 FS 7                  ,4844.8,        ,M1+E2     ,2.7,1.4,,
22,NE     ,10,12,1274.537,0.007,2+                ,3.60 PS 0.05             ,1274.537,0.007,E2        ,12.76,0.18,          ,                
22,NE     ,10,12,6311,1,(6+)              ,49 FS 4                  ,2953.6,        ,[E2]      ,14,1.2,          ,                
22,NE     ,10,12,6345.1,1,4+                ,13 FS 3                  ,2987.7,0.9,M1+E2     ,16,7,,
