A,Element	,A,N,Energy,Unc,JPi,T1/2 (txt),E Gamma   	,Unc,I Gamma  Unc,M Gamma   	,M Ratio,Unc    Conv C              Unc,B(M1),Unc,  B(E2),Unc
16,O      	,8,8,9844.5,5,2+,0.62 KEV 10,2927.1    	,8,347,[M1]      	,        	,       	                   	,0.0042    	,, 8	,	
18,O      	,8,10,3920.44,14,2+,18.4 FS 20,1938      	,,87.67,M1        	,        	,       	                   	,0.14      	,, 2	,	
18,O      	,8,10,5254.8,9,2+,7.0 FS 3,1334      	,,8.74,M1        	,        	,       	                   	,0.111     	,, 8	,	
18,O      	,8,10,7116.9,12,4+,17 FS LT,3562      	,,69.27,M1        	,        	,       	                   	,0.071     	,,16	,	
18,O      	,8,10,8213,4,2+,1.0 KEV 8,4293      	,,31,M1        	,        	,       	                   	,0.0072    	,,30	,	
19,O      	,8,11,96,5,3/2+,1.39 NS 5,96.0      	,,100,M1        	,        	,       	                   	,0.088     	,,38	,	
19,O      	,8,11,1471.7,4,1/2+,0.88 PS 12,1375.7    	,,982,M1        	,        	,       	                   	,0.0093    	,,15	,	
18,F      	,9,9,1041.55,8,0+,1.77 FS 31,1041      	,,100,M1        	,        	,       	                   	,10.9      	,,21	,	
18,F      	,9,9,1700.81,18,1+,662 FS 19,659       	,,70.213,M1        	,        	,       	                   	,0.0805    	,,27	,	
18,F      	,9,9,1700.81,18,1+,662 FS 19,1701      	,,29.813,M1        	,        	,       	                   	,0.00200   	,,11	,	
18,F      	,9,9,3061.84,18,2+,0.83 FS LT,3061      	,,23.28,M1        	,        	,       	                   	,0.2       	,GT,  	,	
18,F      	,9,9,3061.84,18,2+,0.83 FS LT,2125      	,,76.78,M1        	,        	,       	                   	,2         	,GT,  	,	
18,F      	,9,9,3358.2,10,3+,0.30 PS 2,835       	,,63,M1        	,-0.4    	,      5	                   	,0.0074    	,,37	,	
18,F      	,9,9,3358.2,10,3+,0.30 PS 2,2421      	,,93,M1        	,        	,       	                   	,0.00047   	,,17	,	
18,F      	,9,9,3839.17,22,2+,13.2 FS 19,2902      	,,8.914,M1        	,-0.3    	,      3	                   	,0.0060    	,,12	,	
18,F      	,9,9,3839.17,22,2+,13.2 FS 19,2138      	,,310,M1        	,        	,       	                   	,0.0049    	,, 2	,	
18,F      	,9,9,3839.17,22,2+,13.2 FS 19,777       	,,503,M1        	,-0.1    	,      3	                   	,1.7       	,, 3	,	
18,F      	,9,9,4115.9,25,3+,63 FS 15,1054      	,,953,M1        	,0.06    	,      7	                   	,0.28      	,, 7	,	
18,F      	,9,9,4360.15,26,1+,19 FS 7,1298      	,,100,M1        	,        	,       	                   	,0.5       	,, 2	,	
18,F      	,9,9,5297.6,15,4+,21 FS 3,1940      	,,51,M1+E2     	,2.5     	,      8	                   	,0.00037   	,,31	5.5,	27
18,F      	,9,9,5297.6,15,4+,21 FS 3,646       	,,1.33,M1        	,        	,       	                   	,0.019     	,, 9	,	
18,F      	,9,9,5603.38,27,1+,43.3 EV 16,4561      	,,3.812,M1        	,        	,       	                   	,0.0090    	,,30	,	
18,F      	,9,9,5603.38,27,1+,43.3 EV 16,2541      	,,79.559,M1        	,        	,       	                   	,1.1       	,, 2	,	
18,F      	,9,9,6163.2,9,3+,14.0 KEV 5,3640      	,,5.54,M1        	,        	,       	                   	,0.052     	,,17	,	
18,F      	,9,9,6163.2,9,3+,14.0 KEV 5,3101      	,,1.33,M1        	,        	,       	                   	,0.019     	,,10	,	
18,F      	,9,9,6163.2,9,3+,14.0 KEV 5,2324      	,,2516,M1        	,        	,       	                   	,0.91      	,,23	,	
18,F      	,9,9,6163.2,9,3+,14.0 KEV 5,2047      	,,1.53,M1        	,        	,       	                   	,0.078     	,,33	,	
18,F      	,9,9,6283.2,9,2+,10.0 KEV 5,2925      	,,2.33,M1        	,        	,       	                   	,0.078     	,,27	,	
18,F      	,9,9,6283.2,9,2+,10.0 KEV 5,2559      	,,1.45,M1        	,        	,       	                   	,0.071     	,,34	,	
18,F      	,9,9,6283.2,9,2+,10.0 KEV 5,2444      	,,15.814,M1        	,        	,       	                   	,0.91      	,,29	,	
18,F      	,9,9,6283.2,9,2+,10.0 KEV 5,4582      	,,5.76,M1        	,        	,       	                   	,0.050     	,,15	,	
18,F      	,9,9,6283.2,9,2+,10.0 KEV 5,2167      	,,3.92,M1        	,        	,       	                   	,0.33      	,,11	,	
18,F      	,9,9,6283.2,9,2+,10.0 KEV 5,3760      	,,0.32,M1        	,        	,       	                   	,0.0048    	,,34	,	
18,F      	,9,9,6283.2,9,2+,10.0 KEV 5,1923      	,,0.54,M1        	,        	,       	                   	,0.06      	,, 5	,	
18,F      	,9,9,6310.5,8,3+,0.95 KEV 14,2195      	,,2.417,M1        	,        	,       	                   	,0.018     	,,14	,	
18,F      	,9,9,6310.5,8,3+,0.95 KEV 14,1347      	,,1315,M1        	,-0.01   	,     14	                   	,0.62      	,,20	,	
18,F      	,9,9,6310.5,8,3+,0.95 KEV 14,3788      	,,45,M1        	,        	,       	                   	,0.0060    	,,18	,	
18,F      	,9,9,6310.5,8,3+,0.95 KEV 14,3249      	,,573,M1        	,-0.03   	,     10	                   	,0.14      	,, 3	,	
18,F      	,9,9,6310.5,8,3+,0.95 KEV 14,2472      	,,4.61,M1        	,        	,       	                   	,0.025     	,, 9	,	
18,F      	,9,9,6385.5,17,2+,0.49 KEV 9,2547      	,,14.116,M1        	,0.1     	,      2	                   	,0.18      	,, 9	,	
18,F      	,9,9,6385.5,17,2+,0.49 KEV 9,2270      	,,2.35,M1        	,        	,       	                   	,0.041     	,,20	,	
18,F      	,9,9,6385.5,17,2+,0.49 KEV 9,4685      	,,6.817,M1        	,        	,       	                   	,0.014     	,, 7	,	
18,F      	,9,9,6484.9,15,3+,0.40 KEV 10,3423      	,,213,M1        	,        	,       	                   	,0.019     	,, 7	,	
18,F      	,9,9,6484.9,15,3+,0.40 KEV 10,2646      	,,92,M1        	,        	,       	                   	,0.017     	,, 6	,	
18,F      	,9,9,6484.9,15,3+,0.40 KEV 10,1521      	,,22,M1        	,        	,       	                   	,0.02      	,, 2	,	
18,F      	,9,9,6484.9,15,3+,0.40 KEV 10,3962      	,,42,M1        	,        	,       	                   	,0.0023    	,,15	,	
18,F      	,9,9,6567,15,5+,0.56 KEV 13,1269      	,,2.36,M1        	,        	,       	                   	,0.014     	,, 5	,	
19,F      	,9,10,1554.038,9,3/2+,3.5 FS 21,1554.0    	,,2.551,M1        	,        	,       	                   	,0.043     	,,25	,	
19,F      	,9,10,1554.038,9,3/2+,3.5 FS 21,1356.9    	,,92.62,M1        	,        	,       	                   	,2.3       	,,14	,	
19,F      	,9,10,3908.17,20,3/2+,6 FS 3,2354.1    	,,213,M1        	,        	,       	                   	,0.056     	,,33	,	
19,F      	,9,10,3908.17,20,3/2+,6 FS 3,3908.2    	,,482,M1        	,        	,       	                   	,0.12      	,, 7	,	
19,F      	,9,10,3908.17,20,3/2+,6 FS 3,3711.0    	,,142,M1        	,        	,       	                   	,0.0096    	,,53	,	
19,F      	,9,10,5500.7,17,3/2+,4 KEV 1,3946.7    	,,11,M1        	,        	,       	                   	,0.18      	,,  	,	
19,F      	,9,10,6070,1,7/2+,1.2 KEV,3290      	,,233,M1        	,0.06    	,      8	                   	,0.19      	,, 7	,	
19,F      	,9,10,6070,1,7/2+,1.2 KEV,1692      	,,41,M1        	,        	,       	                   	,0.25      	,,10	,	
19,F      	,9,10,6282,2,5/2+,2.4 KEV,4728      	,,202,M1        	,0.11    	,      6	                   	,0.022     	,, 5	,	
19,F      	,9,10,6330,2,7/2+,2.4 KEV,1952      	,,182,M1        	,0.04    	,     20	                   	,0.22      	,, 6	,	
19,F      	,9,10,6500,9,11/2+,2.4 EV GT,3720.2    	,,55,M1        	,        	,       	                   	,0.19      	,,  	,	
19,F      	,9,10,6500,9,11/2+,2.4 EV GT,1852      	,,45,M1        	,        	,       	                   	,1.3       	,,  	,	
19,F      	,9,10,6592,2,9/2+,7.6 EV 18,3812      	,,633,M1        	,-0.20   	,     20	                   	,0.35      	,, 7	,	
19,F      	,9,10,6592,2,9/2+,7.6 EV 18,2214      	,,242,M1        	,0.02    	,      7	                   	,0.35      	,, 7	,	
19,F      	,9,10,7539.6,9,5/2+,0.16 KEV 5,3161.9    	,,273,M1        	,0.042   	,     30	                   	,2.3       	,, 5	,	
