A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Include,Nucleus,Jf,twoJf,ni,nf
18,O,8,10,3554.84,0.4,4,17.2 PS 0.8,1573.0,,E2,1.19,0.06,8,True,18O,2,4,1,1
18,O,8,10,3920.44,0.14,2,18.4 FS 2,3920.0,,E2,1.3,0.2,4,True,18O,0,0,2,1
18,O,8,10,5336.4,0.6,0,139 FS 28,3354.0,,E2,2.0,0.4,0,True,18O,2,4,3,1
18,O,8,10,7116.9,1.2,4,17 FS LT,3197.0,,E2,2.2,0.6,8,True,18O,2,4,2,2
18,O,8,10,8213.0,4.0,2,1.0 KEV 0.8,4658.0,,E2,2.4,1,4,True,18O,4,8,4,1
18,O,8,10,1982.07,0.09,2,1.94 PS 0.05,1982.0,,E2,3.32,0.09,4,True,18O,0,0,1,1
18,O,8,10,3633.76,0.11,0,0.96 PS 0.11,1652.0,,E2,17.0,2,0,True,18O,2,4,2,1
18,O,8,10,5254.8,0.9,2,7.0 FS 0.3,1699.0,,E2,21.0,12,4,True,18O,4,8,3,1
18,O,8,10,5254.8,0.9,2,7.0 FS 0.3,1621.0,,E2,23.0,15,4,True,18O,0,0,3,2
19,O,8,11,1471.7,0.4,1/2,0.88 PS 0.12,1471.7,,E2,0.58,0.12,1,True,19O,5/2,5,1,1
19,O,8,11,2371.5,1.0,9/2,2.4 PS GT,2371.5,,E2,1.0,LT,9,True,19O,5/2,5,1,1
20,O,8,12,1673.68,0.15,2,7.3 PS 0.3,1673.6,0.15,[E2],1.8,0.07,4,True,20O,0,0,1,1
22,O,8,14,3199.0,8.0,2,0.40 PS 0.15,3199.0,8,E2,1.2,0.5,4,True,22O,0,0,1,1
18,F,9,9,4115.9,0.25,3,63 FS 15,4116.0,,E2,0.15,0.04,6,True,18F,1,2,3,1
18,F,9,9,6484.9,1.5,3,0.40 KEV 0.1,4784.0,,E2,0.52,0.35,6,True,18F,1,2,6,2
18,F,9,9,3358.2,1.0,3,0.30 PS 0.02,3358.0,,E2,0.69,0.09,6,True,18F,1,2,2,1
18,F,9,9,6310.5,0.8,3,0.95 KEV 0.14,4610.0,,E2,1.0,0.4,6,True,18F,1,2,5,2
18,F,9,9,5297.6,1.5,4,21 FS 3,1940.0,,M1+E2,5.5,2.7,8,True,18F,3,6,2,2
18,F,9,9,1121.36,0.15,5,162 NS 7,184.0,,E2,5.78,0.25,10,True,18F,3,6,1,1
18,F,9,9,937.2,0.06,3,46.9 PS 1.7,937.0,,E2,5.8,0.2,6,True,18F,1,2,1,1
18,F,9,9,6310.5,0.8,3,0.95 KEV 0.14,2587.0,,E2,9.0,5,6,True,18F,1,2,5,3
18,F,9,9,5297.6,1.5,4,21 FS 3,2775.0,,E2,17.0,6,8,True,18F,2,4,2,1
18,F,9,9,3358.2,1.0,3,0.30 PS 0.02,1657.0,,E2,21.0,3,6,True,18F,1,2,2,2
18,F,9,9,6567.0,1.5,5,0.56 KEV 0.13,3209.0,,E2,28.0,6,10,True,18F,3,6,2,2
19,F,9,10,6070.0,1.0,7/2,1.2 KEV,4516.0,,E2,1.5,1.3,7,True,19F,3/2,3,3,1
19,F,9,10,6330.0,2.0,7/2,2.4 KEV,4776.0,,E2,2.6,0.8,7,True,19F,3/2,3,4,1
19,F,9,10,4648.0,1.0,13/2,2.6 PS 0.3,1868.0,,E2,3.2,0.4,13,True,19F,9/2,9,1,1
19,F,9,10,197.143,0.004,5/2,89.3 NS 1,197.1,,E2,6.95,0.08,5,True,19F,1/2,1,1,1
19,F,9,10,2779.849,0.034,9/2,194 FS 21,2582.7,,E2,8.2,0.9,9,True,19F,5/2,5,1,1
20,F,9,11,822.73,0.03,4,55 PS 4,822.69,0.04,[E2],2.76,0.29,8,True,20F,2,4,1,1
21,F,9,12,279.93,0.06,1/2,6.1 NS 0.6,279.92,0.06,(E2),15.7,1.6,1,True,21F,5/2,5,1,1
18,Ne,10,8,3616.4,0.6,2,44 FS +21-14,3616.0,,E2,0.66,0.33,4,True,18Ne,0,0,2,1
18,Ne,10,8,3576.3,2.0,0,3 PS 1,1689.0,,E2,5.0,2.5,0,True,18Ne,2,4,2,1
18,Ne,10,8,3376.2,0.4,4,3.0 PS 0.4,1489.0,,E2,8.9,1.2,8,True,18Ne,2,4,1,1
18,Ne,10,8,1887.3,0.2,2,0.46 PS 0.04,1887.0,,E2,17.7,1.8,4,True,18Ne,0,0,1,1
