A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Nucleus,Jf,twoJf,ni,nf,Include
16,O,8,8,9844.5,5,2,0.62 KEV 10,2927.1,8,[M1],0.0042,8,4,16O,2,4,2,1,True
18,O,8,10,3920.44,14,2,18.4 FS 20,1938.0,,M1,0.14,2,4,18O,2,4,2,1,True
18,O,8,10,5254.8,9,2,7.0 FS 3,1334.0,,M1,0.111,8,4,18O,2,4,3,2,True
18,O,8,10,7116.9,12,4,17 FS LT,3562.0,,M1,0.071,16,8,18O,4,8,2,1,True
18,O,8,10,8213.0,4,2,1.0 KEV 8,4293.0,,M1,0.0072,30,4,18O,2,4,4,2,True
19,O,8,11,96.0,5,3/2,1.39 NS 5,96.0,,M1,0.088,38,3,19O,5/2,5,1,1,True
19,O,8,11,1471.7,4,1/2,0.88 PS 12,1375.7,,M1,0.0093,15,1,19O,3/2,3,1,1,True
18,F,9,9,1700.81,18,1,662 FS 19,659.0,,M1,0.0805,27,2,18F,0,0,2,1,True
18,F,9,9,1700.81,18,1,662 FS 19,1701.0,,M1,0.002,11,2,18F,1,2,2,1,True
18,F,9,9,3061.84,18,2,0.83 FS LT,2125.0,,M1,2.0,GT,4,18F,3,6,2,1,True
18,F,9,9,3358.2,10,3,0.30 PS 2,835.0,,M1,0.0074,37,6,18F,2,4,2,1,True
18,F,9,9,3358.2,10,3,0.30 PS 2,2421.0,,M1,0.00047,17,6,18F,3,6,2,1,True
18,F,9,9,3839.17,22,2,13.2 FS 19,2902.0,,M1,0.006,12,4,18F,3,6,3,1,True
18,F,9,9,3839.17,22,2,13.2 FS 19,2138.0,,M1,0.0049,2,4,18F,1,2,3,2,True
18,F,9,9,3839.17,22,2,13.2 FS 19,777.0,,M1,1.7,3,4,18F,2,4,3,2,True
18,F,9,9,4115.9,25,3,63 FS 15,1054.0,,M1,0.28,7,6,18F,2,4,3,2,True
18,F,9,9,4360.15,26,1,19 FS 7,1298.0,,M1,0.5,2,2,18F,2,4,4,2,True
18,F,9,9,5297.6,15,4,21 FS 3,646.0,,M1,0.019,9,8,18F,4,8,2,1,True
18,F,9,9,6163.2,9,3,14.0 KEV 5,3640.0,,M1,0.052,17,6,18F,2,4,4,1,True
18,F,9,9,6163.2,9,3,14.0 KEV 5,3101.0,,M1,0.019,10,6,18F,2,4,4,2,True
18,F,9,9,6163.2,9,3,14.0 KEV 5,2324.0,,M1,0.91,23,6,18F,2,4,4,3,True
18,F,9,9,6163.2,9,3,14.0 KEV 5,2047.0,,M1,0.078,33,6,18F,3,6,4,3,True
18,F,9,9,6283.2,9,2,10.0 KEV 5,2925.0,,M1,0.078,27,4,18F,3,6,5,2,True
18,F,9,9,6283.2,9,2,10.0 KEV 5,2559.0,,M1,0.071,34,4,18F,1,2,5,3,True
18,F,9,9,6283.2,9,2,10.0 KEV 5,2444.0,,M1,0.91,29,4,18F,2,4,5,3,True
18,F,9,9,6283.2,9,2,10.0 KEV 5,4582.0,,M1,0.05,15,4,18F,1,2,5,2,True
18,F,9,9,6283.2,9,2,10.0 KEV 5,2167.0,,M1,0.33,11,4,18F,3,6,5,3,True
18,F,9,9,6283.2,9,2,10.0 KEV 5,3760.0,,M1,0.0048,34,4,18F,2,4,5,1,True
18,F,9,9,6283.2,9,2,10.0 KEV 5,1923.0,,M1,0.06,5,4,18F,1,2,5,4,True
18,F,9,9,6310.5,8,3,0.95 KEV 14,2195.0,,M1,0.018,14,6,18F,3,6,5,3,True
18,F,9,9,6310.5,8,3,0.95 KEV 14,1347.0,,M1,0.62,20,6,18F,2,4,5,4,True
18,F,9,9,6310.5,8,3,0.95 KEV 14,3249.0,,M1,0.14,3,6,18F,2,4,5,2,True
18,F,9,9,6385.5,17,2,0.49 KEV 9,2270.0,,M1,0.041,20,4,18F,3,6,6,3,True
18,F,9,9,6385.5,17,2,0.49 KEV 9,4685.0,,M1,0.014,7,4,18F,1,2,6,2,True
18,F,9,9,6484.9,15,3,0.40 KEV 10,3423.0,,M1,0.019,7,6,18F,2,4,6,2,True
18,F,9,9,6484.9,15,3,0.40 KEV 10,2646.0,,M1,0.017,6,6,18F,2,4,6,3,True
18,F,9,9,6484.9,15,3,0.40 KEV 10,1521.0,,M1,0.02,2,6,18F,2,4,6,4,True
18,F,9,9,6484.9,15,3,0.40 KEV 10,3962.0,,M1,0.0023,15,6,18F,2,4,6,1,True
