A  	,Element	,Z,N  	,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma   	,B_exp (W.u.),B_exp Unc (W.u.),
16 	,O      	,8  	,8  	,9844.5    	,5       	,2+                	,0.62 KEV 10              	,2927.1    	,8       	,[M1]      	,0.0042    	,8               	,
18 	,O      	,8  	,10 	,3920.44   	,14      	,2+                	,18.4 FS 20               	,1938      	,	,M1        	,0.14      	,2               	,
18 	,O      	,8  	,10 	,5254.8    	,9       	,2+                	,7.0 FS 3                 	,1334      	,	,M1        	,0.111     	,8               	,
18 	,O      	,8  	,10 	,7116.9    	,12      	,4+                	,17 FS LT                 	,3562      	,	,M1        	,0.071     	,16              	,
18 	,O      	,8  	,10 	,8213      	,4       	,2+                	,1.0 KEV 8                	,4293      	,	,M1        	,0.0072    	,30              	,
19 	,O      	,8  	,11 	,96.0      	,5       	,3/2+              	,1.39 NS 5                	,96.0      	,	,M1        	,0.088     	,38              	,
19 	,O      	,8  	,11 	,1471.7    	,4       	,1/2+              	,0.88 PS 12               	,1375.7    	,	,M1        	,0.0093    	,15              	,
18 	,F      	,9  	,9  	,1041.55   	,8       	,0+                	,1.77 FS 31               	,1041      	,	,M1        	,10.9      	,21              	,
18 	,F      	,9  	,9  	,1700.81   	,18      	,1+                	,662 FS 19                	,659       	,	,M1        	,0.0805    	,27              	,
18 	,F      	,9  	,9  	,1700.81   	,18      	,1+                	,662 FS 19                	,1701      	,	,M1        	,0.00200   	,11              	,
18 	,F      	,9  	,9  	,3061.84   	,18      	,2+                	,0.83 FS LT               	,3061      	,	,M1        	,0.2       	,GT              	,
18 	,F      	,9  	,9  	,3061.84   	,18      	,2+                	,0.83 FS LT               	,2125      	,	,M1        	,2         	,GT              	,
18 	,F      	,9  	,9  	,3358.2    	,10      	,3+                	,0.30 PS 2                	,835       	,	,M1        	,0.0074    	,37              	,
18 	,F      	,9  	,9  	,3358.2    	,10      	,3+                	,0.30 PS 2                	,2421      	,	,M1        	,0.00047   	,17              	,
18 	,F      	,9  	,9  	,3839.17   	,22      	,2+                	,13.2 FS 19               	,2902      	,	,M1        	,0.0060    	,12              	,
18 	,F      	,9  	,9  	,3839.17   	,22      	,2+                	,13.2 FS 19               	,2138      	,	,M1        	,0.0049    	,2               	,
18 	,F      	,9  	,9  	,3839.17   	,22      	,2+                	,13.2 FS 19               	,777       	,	,M1        	,1.7       	,3               	,
18 	,F      	,9  	,9  	,4115.90   	,25      	,3+                	,63 FS 15                 	,1054      	,	,M1        	,0.28      	,7               	,
18 	,F      	,9  	,9  	,4360.15   	,26      	,1+                	,19 FS 7                  	,1298      	,	,M1        	,0.5       	,2               	,
