Nucleus,Elevel(keV),Jpi,T1/2
11O,490,(5/2+),1.06 MeV
11O,2120,(5/2+),1.96 MeV
12O,0,0+,< 72 keV
12O,1.62E3 11,0+,1.2 MeV 7
12O,1968 52,(2+),0.48 MeV 11
14O,0,0+,70.606 s 18
14O,5920 10,0+,? 50 keV
14O,6590 10,2+,? 60 keV
14O,7768 10,2+,76 keV 10
14O,9715 20,(2+),
14O,9915 20,4+,100 keV 50
15O,5183 1,1/2+,5.7 fs 7
15O,5240.9 3,5/2+,2.25 ps 21
15O,6793.1 17,3/2+,< 20 fs
15O,6859.4 9,5/2+,11.1 fs 17
15O,7275.9 6,7/2+,0.49 ps 11
15O,7556.5 4,1/2+,0.99 keV 10
15O,8284.0 5,3/2+,3.6 keV 7
15O,8743 6,1/2+,32 keV
15O,8922 2,5/2+,3.3 keV 3
15O,8922 2,1/2+,7.5 keV
15O,9484 8,(3/2)+,? 200 keV
15O,10300,5/2+,11 keV 2
15O,10461 5,(9/2+),< 2 keV
15O,10506,(3/2)+,140 keV 40
15O,10917 12,7/2+,90 keV
15O,10938 3,1/2+,99 keV 5
15O,11218 3,3/2+,40 keV 4
15O,11748 3,5/2+,99 keV 5
15O,12129 15,5/2+,200 keV 50
15O,12255 13,5/2+,135 keV 15
15O,13450,"(1/2,3/2)+",? 1000 keV
15O,13450,"(1/2,3/2)+",? 1000 keV
15O,13490,(3/2+),
15O,13600,5/2+,
15O,14270 10,1/2+,340 keV 30
15O,14340,5/2+,240 keV
15O,14465 10,"3/2+,5/2+",100 keV 10
15O,14465 10,"3/2+,5/2+",100 keV 10
15O,15050 10,(13/2+),
15O,15100,"(1/2,3/2)+",? 1000 keV
15O,15100,"(1/2,3/2)+",? 1000 keV
15O,16430 75,1/2+,560 keV 100
15O,17050 60,"(1/2,3/2)+",700 keV 70
15O,17050 60,"(1/2,3/2)+",700 keV 70
15O,18670 60,"(1/2,3/2)+",520 keV 110
15O,18670 60,"(1/2,3/2)+",520 keV 110
15O,19570 80,"(1/2,3/2)+",780 keV 270
15O,19570 80,"(1/2,3/2)+",780 keV 270
